Id,label,size,x,y
Sahin,Sahin,1.18471,-142.61237,-398.11816
Türeci,Türeci,1.18471,-139.94136,-398.71466
Orla Højris,Orla Højris,1.1809998,-444.1942,55.75412
Viborg FF,Viborg FF,1.1809998,-441.56363,55.543903
Michael Kastis,Michael Kastis,2.1526067,-303.45795,31.257341
Nicolai Oster,Nicolai Oster,2.1526067,-308.46072,31.690483
ARNBY,ARNBY,1.0719213,370.17065,-178.26161
Novotny,Novotny,1.0719213,370.8411,-175.96762
Kongens Lyngby,Kongens Lyngby,2.9141798,-813.42,446.1604
Odense M,Odense M,2.3854141,-821.4464,454.31436
Selvmordsturisten,Selvmordsturisten,1.0719213,368.38397,-176.6396
GNU,GNU,1.355106,-31.030352,-910.78546
Stallman,Stallman,1.6680648,-34.060436,-912.2478
Michael Stausholm,Michael Stausholm,1.253109,-351.29926,-481.34286
Sprout,Sprout,1.253109,-353.06253,-479.1741
Aarhus C,Aarhus C,1.88738,-817.98126,458.02176
København K,København K,2.6716688,-812.5762,456.99313
Mette Grimm Munck,Mette Grimm Munck,1.7858584,-544.53375,-262.39462
NFC,NFC,1.957,-543.15814,-266.44205
Ida Lærke,Ida Lærke,1.0740337,-261.67453,109.63057
Negin Mirsalehi,Negin Mirsalehi,1.0740337,-264.02957,108.95605
DNC,DNC,6.9885144,708.91705,592.18115
DNC-s,DNC-s,5.283073,721.19525,600.9239
HA,HA,1.88738,-813.2435,451.62015
Peter Holm,Peter Holm,1.8321947,-155.16306,-40.992275
Tonsser,Tonsser,1.8321947,-156.36945,-45.088955
LendingClub,LendingClub,1.048133,-54.19431,-204.30803
Renaud Laplanche,Renaud Laplanche,1.048133,-52.402092,-202.9209
Blindzone,Blindzone,1.0719213,369.08762,-174.3218
Institut for Mennesker og Teknologi,Institut for Mennesker og Teknologi,1.4985638,-600.8234,523.1831
Københavns UniversitetLektor,Københavns UniversitetLektor,1.4985638,-597.4148,524.0916
Farskibet,Farskibet,1.0439866,211.26448,41.68613
Glenn Bech,Glenn Bech,1.0439866,209.67982,43.381416
Institut for Politik og Samfund,Institut for Politik og Samfund,1.4985638,-600.1152,526.6502
København N,København N,2.89183,-819.8843,444.33453
Glenn Bechs,Glenn Bechs,1.0439866,208.98428,41.147587
Mathilde Gøhler,Mathilde Gøhler,1.0740337,-262.26923,107.24434
Aalborg SV,Aalborg SV,1.8507131,-817.98114,449.80225
Dacapo Stainless,Dacapo Stainless,1.0534368,-595.55786,-78.911255
Kristian Sylvest,Kristian Sylvest,1.0795184,-594.47,-76.856804
Jakob Have,Jakob Have,1.1649587,-532.7463,-606.3223
Seafire,Seafire,1.1649587,-534.8764,-607.7624
B& O,B& O,1.807035,-84.99615,-331.54843
Kristian Teär,Kristian Teär,1.3701642,-82.96108,-334.81293
FBA,FBA,1.0324268,610.5748,-358.91068
Firtal Web,Firtal Web,1.0037074,608.7406,-357.55353
& O's,& O's,1.2794693,-86.00308,-334.9521
Aarhus N,Aarhus N,1.7719617,-816.74713,453.85345
Mi 8,Mi 8,1.030979,189.85318,-825.82166
OnePlus 6,OnePlus 6,1.17981,189.96866,-828.2874
Danadynamics,Danadynamics,1.0327204,-908.40106,156.77632
Martin Stockholm,Martin Stockholm,1.0327204,-908.8921,158.98904
Lasse Skriver Møller,Lasse Skriver Møller,1.0327204,-910.56665,157.44467
Mulder,Mulder,1.0154577,567.3497,-354.1761
Scully,Scully,1.0154577,567.357,-356.4361
MakerDAO,MakerDAO,1.0145991,-561.53284,-517.90564
Rune Christensen,Rune Christensen,1.0145991,-559.4355,-518.58246
The X-Files,The X-Files,1.0154577,565.4091,-355.31567
Rasmus Palludan,Rasmus Palludan,1.3512247,208.26021,-271.46234
Terkel,Terkel,1.4488486,210.1788,-274.07376
DO,DO,1.0657887,-99.40652,395.72644
TOPIA,TOPIA,1.0657887,-99.01459,393.39264
Henrik Stub,Henrik Stub,1.6016116,542.6662,-294.23392
Mariann Albjerg,Mariann Albjerg,1.6016116,539.38043,-291.83466
Institut for Kultur og Læring,Institut for Kultur og Læring,1.7743956,-596.23126,527.72205
B,B,1.7794404,-80.67625,-331.92618
Anne Frank,Anne Frank,1.1953082,443.31442,326.31332
Vince Pankoke,Vince Pankoke,1.1323681,441.41257,324.27597
?,?,1.046425,294.1684,433.5346
Kupi,Kupi,1.0013973,291.9595,433.30887
Adam Tooze,Adam Tooze,3.1947892,241.4515,651.1634
Tooze,Tooze,3.2595532,238.74828,643.7446
ERP,ERP,1.0556617,-496.75885,-666.89557
Poul Kjær,Poul Kjær,1.003451,-494.8019,-665.8477
Kasper Lund,Kasper Lund,1.1170275,75.18242,-703.007
Lars Bak,Lars Bak,1.2964654,77.09954,-701.0567
Esbjerg Ø,Esbjerg Ø,3.0161579,-827.6332,453.2704
Airtame,Airtame,1.2060542,608.2468,-359.9498
Institut for Kultur og Samfund,Institut for Kultur og Samfund,2.216496,-604.35767,527.97424
Stefan Schönegger,Stefan Schönegger,1.013458,-552.2977,-805.74677
TSN,TSN,1.2289765,-552.5236,-803.2253
Anders Kristiansen,Anders Kristiansen,1.2193149,-329.27176,-279.55215
Esprit,Esprit,1.6736492,-325.6658,-279.88556
Søren Kipling,Søren Kipling,1.0402061,610.79175,-356.60123
Astrid Simonsen Joos,Astrid Simonsen Joos,1.2446835,-410.2967,-225.31776
Signify,Signify,1.0479451,-409.42337,-227.7782
BioNTech,BioNTech,1.2486937,-141.17079,-401.44397
Henrik G. Jensen,Henrik G. Jensen,1,316.2111,-37.906395
Securitas,Securitas,1.1877553,314.2273,-39.178482
Institut for Kommunikation og Humanistisk Videnskab,Institut for Kommunikation og Humanistisk Videnskab,1.8201318,-604.7531,523.1727
Liace,Liace,1.7162296,-579.21106,245.93222
Teletronics,Teletronics,1.6433107,-584.0974,241.3512
EDMOND,EDMOND,1.2470684,393.03412,-62.95626
