Id,label,x,y,size,showlabel
"J.L.","J.L.",797.9961,-2199.0432,13.2,false
"Joanne Pransky","Joanne Pransky",92.65189,365.0904,13.147323,false
"Pransky","Pransky",87.58013,394.3757,13.147323,false
"Industrial Robot Journal","Industrial Robot Journal",64.86838,375.32623,13.147323,false
"Integrated Management for Coastal","Integrated Management for Coastal",780.3985,-2210.9807,12.881136,false
"Lee, J.","Lee, J.",824.18396,-2208.0234,12.620184,false
"the Italian Society for the Study of Atherosclerosis","the Italian Society for the Study of Atherosclerosis",1704.0306,2132.6396,12.444802,false
"the Italian Society of Human Nutrition","the Italian Society of Human Nutrition",1657.8127,2134.5051,12.444802,false
"the Department of Clinical Medicine","the Department of Clinical Medicine",1680.6953,2092.9426,12.444802,false
"Federico II","Federico II",1679.4816,2122.2256,12.444802,false
"Suh","Suh",809.115,-2250.352,12.418279,false
"UniversityBackground","UniversityBackground",1706.1351,2100.9985,12.053011,false
"TPX2","TPX2",3173.109,2803.0642,12.018777,false
"Marine Safety","Marine Safety",824.57623,-2234.188,11.975757,false
"KIF2C","KIF2C",3186.4832,2781.4602,11.715139,false
"The Van Leer","The Van Leer",-942.83405,-3107.7258,11.599979,false
"Radespiel","Radespiel",-906.9392,-3123.8125,11.522175,false
"TOP2A","TOP2A",3200.136,2758.7734,11.364208,false
"Crisis","Crisis",796.7419,-2227.5945,11.314382,false
"MAPK3","MAPK3",3028.9175,2468.177,11.299401,false
"Mean Filter","Mean Filter",-2514.6787,1386.4319,11.232417,false
"The Italian Diabetes Society","The Italian Diabetes Society",1688.1536,2148.168,11.211545,false
"ITGAM","ITGAM",2850.1318,2471.0881,11.084603,false
"CDC20","CDC20",3200.0127,2802.6746,11.078575,false
"OBESITY MEDICINE ASSOCIATION","OBESITY MEDICINE ASSOCIATION",1227.3958,3010.6196,11.055094,false
"Estimation of STromal","Estimation of STromal",3105.3357,2844.1543,10.983055,false
"Conditional Recommendations","Conditional Recommendations",946.4748,3126.9707,10.982828,false
"Malvárez","Malvárez",1032.0454,-2187.2222,10.908465,false
"Navas","Navas",1013.80505,-2172.8926,10.908465,false
"Global Coastal Issues","Global Coastal Issues",1035.1858,-2164.1912,10.908465,false
"Journal of Coastal Research","Journal of Coastal Research",941.84796,-2324.3623,10.880337,false
"The Obesity Society","The Obesity Society",1241.283,2984.5889,10.879139,false
"BUB1B","BUB1B",3175.28,2759.3389,10.872322,false
"YTHDF1","YTHDF1",2926.2444,2818.5305,10.8358555,false
"Strong, Moderate","Strong, Moderate",911.34753,3095.5774,10.8144245,false
"HSPA4","HSPA4",3095.7727,2581.4736,10.749199,false
"CCR1","CCR1",2989.028,2653.5217,10.747183,false
"HSP90AA1","HSP90AA1",3070.685,2563.1143,10.658841,false
"SPGLIB","SPGLIB",-518.39124,-2960.459,10.648613,false
"Faculty of Pharmacy","Faculty of Pharmacy",2723.9067,1580.9576,10.627775,false
"University of Benin,","University of Benin,",2727.4287,1608.8563,10.627775,false
"Kroll","Kroll",-943.6625,-3137.4414,10.621098,false
"IL6","IL6",2830.845,2333.31,10.613901,false
"GRIN2B","GRIN2B",2743.5623,2292.6646,10.593212,false
"CCNA2","CCNA2",3166.6729,2737.1348,10.5804,false
"Crustal","Crustal",1704.3766,-1686.0769,10.550663,false
"Coconut Creek","Coconut Creek",941.45557,-2352.8865,10.533941,false
"Unusual","Unusual",-615.67694,-3066.667,10.437693,false
"CCNB2","CCNB2",3116.63,2724.5017,10.390975,false
"PDYN","PDYN",2724.745,2256.762,10.384218,false
"Practice Center","Practice Center",934.2294,3088.2053,10.374924,false
"Artificial Neural Networks-Climate Data Record","Artificial Neural Networks-Climate Data Record",2344.8906,-2435.0464,10.363522,true
"XLOGP2","XLOGP2",2185.6226,753.4795,10.351856,false
"IFNG","IFNG",2976.5447,2576.2686,10.290961,false
"NFKB2","NFKB2",3018.4727,2499.082,10.244411,false
"Benin City","Benin City",2709.1453,1618.325,10.232469,false
"Intercomparison","Intercomparison",2286.4382,-2520.7834,10.231191,false
"O111","O111",1759.0585,269.23462,10.229214,false
"TYROBP","TYROBP",3035.4421,2683.4358,10.228071,false
"E2F1","E2F1",3105.4392,2622.7227,10.215778,false
"Surgery","Surgery",1659.3534,2107.3633,10.192128,false
"COL1A1","COL1A1",2925.509,2683.8254,10.190845,false
"XLOGP3","XLOGP3",2209.0781,751.9202,10.181051,false
"BIRC5","BIRC5",3127.455,2756.4998,10.172236,false
"Steffen Jr.","Steffen Jr.",-978.25946,-3123.8896,10.16613,false
"Microwave Emission","Microwave Emission",2203.398,-2640.0273,10.127596,false
"KPNA2","KPNA2",3123.8926,2801.3064,10.121896,false
"ALOGPs","ALOGPs",2215.7578,771.53796,10.113705,false
"AURKA","AURKA",3162.3599,2780.1675,10.091608,false
"FeynCalc","FeynCalc",-642.64355,-3126.3455,10.08364,false
"the American Association for the Advancement of Science","the American Association for the Advancement of Science",195.69046,371.0855,10.082452,false
"±0.50 D","±0.50 D",-95.91811,2845.0168,10.081821,false
"OBJETIVO","OBJETIVO",1505.8217,1215.5254,10.075886,false
"CCNB1","CCNB1",3212.0928,2781.0596,10.070539,false
"CD3D","CD3D",2955.181,2762.4182,10.065191,false
"False Alarm Ratio","False Alarm Ratio",2132.4563,-2285.5972,10.061892,false
"Precipitation Estimation","Precipitation Estimation",2376.5781,-2479.0723,10.060772,false
"O45","O45",1780.8748,253.94872,10.057194,false
"NFKB1","NFKB1",3056.8406,2478.2017,10.04871,false
"Thakkinstian","Thakkinstian",891.4338,2829.883,10.047364,false
"PIK3R3","PIK3R3",2952.486,2646.3784,10.040442,false
"PROCHECK","PROCHECK",2875.1353,1475.3455,10.03877,false
"FeynArts","FeynArts",-657.8162,-3135.5925,10.032974,false
"http://cpc.cs.qub.ac.uk/licence/licence.html","http://cpc.cs.qub.ac.uk/licence/licence.html",-670.2607,-3083.5867,10.017793,false
"O26","O26",1779.5073,276.74536,10.015976,false
"THE AMERICAN ASSOCIATION OF CLINICAL ENDOCRINOLOGISTS","THE AMERICAN ASSOCIATION OF CLINICAL ENDOCRINOLOGISTS",1255.5039,3021.5752,10.011845,false
"CytoHubba","CytoHubba",3161.5256,2644.6616,10.006605,false
"MAlignant Tumor","MAlignant Tumor",3107.8,2883.5496,9.999439,false
"GABRA2","GABRA2",2704.109,2253.406,9.99229,false
"JAK3","JAK3",2928.7488,2477.2256,9.987322,false
"Blanco","Blanco",744.8954,-1359.3678,9.984379,false
"S100A8","S100A8",2883.6814,2613.4692,9.976709,false
"Weather Forecasts","Weather Forecasts",2656.576,-2368.63,9.97153,false
"Wanfang","Wanfang",932.63025,2839.711,9.963802,false
