duid,publishdate,sourcename,heading,bodytext
e69c80b6,2018-02-08,The Wikipedia Journal,G.A. Gedalia & Co.,"g.a. gedalia & co. var en dansk vekselererforretning, stiftet 1. maj 1849 af g.a. gedalia.
1. maj 1849 averterede han i berlingske tidende: ""»g. a. gedalia & co.« nyt etableret vexellererkontoir er paa høibroplads nr. 54 i stuen"", og denne dato må altså regnes for datoen for firmaets grundlæggelse.
flere dygtige vekselerere fik deres uddannelse hos gedalia, blandt andre isak glückstadt.
i 1875 gik hans firma konkurs, men senere kom han på fode igen og etablerede atter et vekselererfirma.

kilder
g.a. gedalias biografi i dansk biografisk leksikon."
e5e4d040,2016-09-22,Wikipedia News,Hafnia Hodierna,"hafnia hodierna, eller udførlig beskrivelse om den kongelige residentz- og hoved-stad kiøbenhavn. er et kobberstukkent arkitekturværk om københavn udgivet af arkitekten lauritz de thurah 1748. værket, et kvartbind med 110 tavler, er en vigtig kilde til hovedstadens udseende i midten af 1700-tallet.
alle prospekterne i værket er udført af den dygtige tegner johan jacob bruun, mens opstalter og grundplaner er udført af andre, herunder thurah selv.
forlaget rosenkilde & bagger udgav værket som faksimile 1967 ved svend cedergreen bech.

ekstern henvisning
digitale sammlungen slub dresden
digital lbrary hathitrust"
e5e4d1db,2016-09-22,Dansk Wikipedia,Forlagsbureauet,"forlagsbureauet i kjøbenhavn var et dansk interessentskab og forlag, der i 1854 blev dannet ved, at flere københavnske forlæggere gik sammen: o.h. delbanco, frederik v. hegel, g.e.c. gad, c.g. iversen og c.c. lose. iversen var forretningsfører og interessent indtil 1857, hvor han solgte sin boghandel og flyttede til kolding.
hegel døde i 1887 og gyldendals interesser i forlagsbureauet blev fortsat af sønnen jacob hegel. i februar 1893 blev g.e.c. gad eneejer af forlagsbureauet, idet han købte jacob hegel ud. dermed sluttede interessentskabet, der fusionede med g.e.c. gads forlag.
forlagsbureauet var udgiver af ugebladene illustreret tidende (grundlagt 1859) og nordstjernen (grundlagt 1885).
et af forlagsbureauets mål var tilvejebringelsen af et navnlig på afsætning i danmark og norge beregnet nordisk conversationslexikon. under redaktion af christian frederik ingerslev udkom fra 1857 dette arbejde, hvis 5. og sidste bind blev færdigt 1863. det vandt en forholdsvis betydelig udbredelse, så at et 2. oplag, ligeledes i 5 bind, kunne udkomme 1870-78, redigeret af dr. carl johan fogh, dr sophus heegaard og genealogen johannes peter frederik königsfeldt. tidsforholdene krævede dog snart en helt ny omarbejdelse med en talrigere stab af også norske og svenske medarbejdere, og under redaktion af overlærer anton frederik pullich og professor gustav storm i kristiania, til hvem fra 4. bind dr. phil. william mollerup sluttede sig, udkom derefter i et betydeligt oplag 3. udgave (6 bind med supplement) 1883-90, hvortil 1894 føjedes et særskilt bind illustrationer og kort (224 blade), for en stor del gengivelse af det til sidste udgave af brockhaus hørende illustrationsmateriale, udfyldt med adskilligt nyt
materiale vedrørende nordiske forhold. et uddrag af dette værks 2. udgave var forlagsbureauets kortfattet haandleksikon (2 bind, 1879-80), redigeret af bibliotekar emil elberling og overlærer pullich. 
med talrige udgivelser af både fag- og skønlitteratur prægede forlagsbureauet afgørende bogmarkedet i anden halvdel af 1800-tallet. eksempler på udgivelser er p. hansen, nordiske digtere i vort aarhundrede (1870) og o. nielsen, kjøbenhavn paa holbergs tid (1884)."
e4a3ade6,2014-10-24,The Wikipedia Journal,Københavns belejring,"københavns belejring har flere betydninger:

københavns belejring (1289)
københavns belejring (1523)
københavns belejring (1535-1536)
københavns belejring (1658-1660)
københavns belejring (1807)

se også
stormen på københavn 1659"
e4a3acc7,2014-10-24,Wikipedia News,Børsen (dokumentarfilm),"børsen er en dansk dokumentarfilm fra 1965 instrueret af tue ritzau efter eget manuskript.

handling
børsen i københavn er den eneste eksisterende børsbygning, der aldrig har været brugt til andet end sit formål. der er derfor grund til at skildre dens historie fra en dag, den blev grundlagt af christian 4. og til i dag, hvor det ganske vist er de samme aktiviteter, man kan iagttage, men størrelsesordenen og tempoet er et andet.

referencer
eksterne henvisninger
børsen på filmdatabasen"
e82f79cb,2021-03-25,Dansk Wikipedia,Børnene på Blågårds Plads,"børnene på blågårds plads er en dansk dokumentarfilm fra 2019 instrueret af olivia chamby-rus.

handling
filmen er instruktøren olivia chamby-rus’ personlige, poetiske portræt af det multikulturelle og berygtede område ved blågårds plads i københavn. gennem tre års optagelser lykkedes det hende at få unik adgang til børn og unge omkring pladsen og indfange livet, som det ser ud gennem deres øjne. opvokset i sverige med polske forældre og nu bosat i danmark er instruktøren optaget af, hvad det vil sige at vokse op med flere kulturer. gennem temaer som kulturforskelle, død, krop og identitet dykker hun i denne dokumentar ned i barndommen – som en tilstand, et sted og en periode. børnene på blågårds plads er en film om barndom og om overgangen til voksenlivet, om at skubbe grænser, finde ud af hvem man er, hvem man gerne vil være, og hvor man hører til i verden.

referencer
eksterne henvisninger
børnene på blågårds plads på internet movie database (engelsk)
børnene på blågårds plads på filmdatabasen"
e82f7a00,2021-03-25,The Wikipedia Journal,Jonals Co.,"jonals co. var et dansk fotografisk kollektiv, som var den første reklamefotografiske virksomhed i landet, og som spillede en væsentlig rolle i dansk fotografi i 1920'erne, 1930'erne og senere.
grundlæggeren af jonals co. var hermann alfred georg nielsen (9. august 1881 i viborg – 1947), som af ukendte årsager antog efternavnet bente og kaldte sig herman bente. han var gift med emma rigmor bente (18. januar 1885 i københavn – 28. oktober 1918). han kom først til at arbejde for det gamle tidsskrift illustreret tidende og blev siden en moderne fotograf i usa og storbritannien. herman bente var ikke tilhænger af pictorialismen, men foretrak et nøgternt og sagligt fotografi. han udgav bogen fornuftig amatør fotografi (1938). bente var også den sidste redaktør af det danske fototidsskrift amatør fotografen, som udkom i årene 1912 til 1919, idet han var redaktør fra april til december 1919.
firmaet blev grundlagt af herman bente i 1926. firmanavnet, jonals co. konstruerede herman bente af sine to sønners navne, jan og jol. herman bente var efter alt at dømme den toneangivende fotograf i firmaet, men alle firmaets fotografer satte firmanavnet under deres billeder. derfor ved ingen i dag, hvem der har været mester for det enkelte fotografi.
firmaet var nyskabende ved at fotografere industriprodukter. jonals co. gengav således kay bojesens legetøj, glas fra holmegaard glasværk og anden brugskunst fra perioden. det udførte reportageoptagelser fra danske industrivirksomheder (fx stjernen), arkitekturfotografi af arne jacobsens og vilhelm lauritzens moderne bygninger, modefotografi taget i forbindelse med stormagasinernes mannequinopvisninger, topografiske optagelser samt en lille samling fotomontager. jonals co. bidrog til bogen britisk brugskunst fra 1933 med tekst af steen eiler rasmussen, gennem anmeldelser og artikler om fotografi samt som arrangør af bl.a. den internationale udstilling moderne fotografi på kunstindustrimuseet i 1930.
derudover producerede jonals co. fotografier til tidsskriftet helhesten, hvor fotograferne på surrealistisk vis viser et abstrakt ekspressionistiske billedunivers som konkurrence til andre kunstarter.
firmaet lå i bredgade 76 i københavn og fortsatte efter herman bentes død.
kun få negativer fra jonals co. har overlevet, idet en stor samling reklamenegativer formentlig blev ødelagt ved en brand i 1973. der er kun bevaret meget få papirkopier i offentlige og private arkiver.
i 2000 blev der afholdt en udstilling af værker af jonals co. på gammel holtegaard og holstebro kunstmuseum kurateret af mette kia krabbe meyer.

litteratur
jonals co. og det moderne fotografis gennembrud i danmark, gammel holtegaard 2000. isbn 978-87-88499-41-4

se også
aage strüwing

kilder
charlotte christensen, ""fagre nye fotoverden"", dagbladet information, 16. marts 2000. online
herman bente i den store danske"
e7c3cabc,2020-06-24,Wikipedia News,S-tog vort tog,"s-tog vort tog er en dokumentarfilm fra 1968 instrueret af ernst møholt.

handling
efter et historisk tilbageblik over udviklingen af trafikken i københavn fortælles om bygningen af de røde andengenerations s-tog.

referencer
eksterne henvisninger
s-tog vort tog på filmdatabasen"
e7c3eb14,2020-06-24,Dansk Wikipedia,Gjethuset (København),"gjethuset var et kongeligt støberi til fremstilling af klokker og kanoner kendt fra cirka 1500. efter skiftende placeringer bland annet ved sankt clara kloster i møntergade opførtes efter christian 5.s order i 1671 et nyt på kongens nytorv i københavn.
det kongelige kanonstøberi blev bygget på kongens nytorv som da var et temmelig øde område. gjethuset blev plaseret i den ende af torvet, som stødte op mod flådeværftet på bremerholm efter som kanonstøberiet til at starte med var søetatens ansvarsområde, og efter et par år var produktionen af kanoner til nationens krigsskibe i gang. det kneb imidlertid med at få økonomien til at hænge sammen og i 1757 overgik produktionen af flådens kanoner til johan frederik classens private støberi i frederiksværk.
rytterstatuen af frederik v af den franske billedhygger jacques-françois-joseph saly blev 1764 støbt i gjethuset og en del af muren i huset revet ned, således at rytterstatuen kunne komme ud på sin sidste rejse til amalienborg slotsplads. måske blev også christian 5.s rytterstatue, som står på kongens nytorv, støbt i gjethuset.
den gamle fabriksbygning blev der derefter oprettet et kadetakademi for artilleriets kadetter og en tjenestebolig til chefen for artilleriet og ingeniørkorpset. i perioden 1830-66 tjente bygningen som militærhøjskole. den militære højskole i gjethuset lukkede i 1868, og fire år senere blev den 200 år gamle byggning revet ned for at gøre plads til det kongelige teater, men allerede i 1720 havde den franske teatermaler, maskinmester og vinhandler etienne capion opført forestillinger i det lille gjethus (støbehus, også kaldet tjærehuset) på kongens nytorv. det blev dog ikke nogen succes – ikke mindst fordi forestillingerne blev opført på fransk og tysk

kilde
dengang der lå en våbenfabrik på kongens nytorv berlingske"
e7c413aa,2020-06-24,The Wikipedia Journal,Allotria-huset,"den 1. maj 1982 blev allotria-huset i korsgade 45 på nørrebro i københavn besat. i huset etableredes kollektiver, og det lukkede værtshus i stuen blev genåbnet af bz'erne. stedet blev blandt andet spillested for punkmusik.
den 11. januar 1983 kl. 9:00 blev en container med politifolk hejst op i 3. sals højde ved allotria, herfra gennembrød politiet muren og kom ind i huset. politiet fungerede som saneringsarbejdere og gjorde huset ubeboeligt. ca. 1000 politifolk deltog. det gik op for politiet, at huset var tomt. bz'erne havde forladt det via en hjemmegravet tunnel under korsgade. ideen til tunnelen kom fra en bog om en fangeflugt fra en tysk fangelejr under 2. verdenskrig.
""vi bestemmer selv hvornår vi vil slås"" stod der på bz'ernes banner som var hængt ud af vinduet. 35 bz'ere kom op gennem gulvet i blikkenslagerbutikken overfor allotria og forsvandt på ladet af en ventende lastbil. kl. 15 var huset revet ned. lille fjer, der var nabohus til allotria, blev også revet ned. huset safari rømmedes uden modstand.

referencer
eksterne henvisninger
dahlin, ulrik (11. januar 2003). ""tunnelen fra allotria"". information. dagbladet information. hentet 22. marts 2016."
