Id,label,x,y,size,showlabel
Galaxy,Galaxy,125.326126,-740.643066,11.263846,
Downlink,Downlink,-4213.5625,-163.741669,11.263846,
Eyes,Eyes,2596.249756,941.393005,11.263846,
Banach,Banach,-2335.763184,175.997345,11.263846,
Dosimetric,Dosimetric,2253.345215,433.17218,11.263846,
Spectroradiometer,Spectroradiometer,988.98053,-3785.003662,11.263846,
Censored,Censored,250.806442,978.705811,11.263846,
vertices,vertices,-2498.362305,2644.746338,11.263846,
MOEAs,MOEAs,-1043.381836,1168.892944,11.263846,
Stromal,Stromal,3849.019043,-369.594971,11.263846,
DC-link,DC-link,-2278.277344,-1401.619263,11.263846,
CNNs,CNNs,979.027649,3428.270264,11.263846,
IMU,IMU,-896.956299,-174.532013,11.263846,
Inertial,Inertial,-925.399536,-192.90451,11.263846,
Navier-Stokes,Navier-Stokes,-771.590515,-1875.16394,11.263846,
sentences,sentences,-944.603088,2927.705322,11.263846,
secret,secret,-3390.727051,1236.921021,11.263846,
Selling,Selling,-1861.564697,1809.78418,11.263846,
Interval-valued,Interval-valued,-979.346252,2317.602051,11.263846,
Intuitionistic,Intuitionistic,-1036.178101,2316.622559,11.263846,
Binding,Binding,2878.458984,-1557.406494,11.263846,
Local_binary_pattern,Local_binary_pattern,261.200592,1921.88208,11.263846,
Sequenced,Sequenced,3647.070312,-1302.386841,11.263846,
AlexNet,AlexNet,980.21814,3486.538818,11.263846,
carcinomas,carcinomas,3836.222412,-184.826019,11.263846,
sliding-mode,sliding-mode,-2237.942871,-830.008301,11.263846,
flexions,flexions,1852.827271,1103.009155,11.263846,
infer,infer,4906.310059,400.947876,11.263846,
/inf,/inf,4894.667969,378.9888,11.263846,
rocks,rocks,510.44812,-2624.798096,11.263846,
Underwent,Underwent,3127.969482,851.211304,11.263846,
Whole-brain,Whole-brain,1971.412842,1846.006226,11.263846,
tensile,tensile,225.576065,-1473.27417,11.263846,
accelerators,accelerators,-3673.966553,1847.474365,11.263846,
authors,authors,-1785.566772,2722.454834,11.263846,
Preprocessed,Preprocessed,2158.181396,-3789.790283,11.263846,
MODIS,MODIS,954.703918,-3794.93042,11.1904,
Ophthalmology,Ophthalmology,2578.580566,968.192627,11.173832,
sum-rate,sum-rate,-4253.310059,-200.838608,11.158266,
borehole,borehole,482.980316,-2617.133301,11.150177,
Prefrontal,Prefrontal,1971.098389,1958.406494,11.144973,
Laminar,Laminar,-676.249878,-1937.555542,11.127854,
Reynolds,Reynolds,-705.271545,-1939.001099,11.127854,
Uplink,Uplink,-4188.066406,-172.788483,11.104988,
Radiotherapy,Radiotherapy,2331.182373,406.34729,11.092792,
Galactic,Galactic,125.692116,-787.427307,11.082869,
Diabetic,Diabetic,2672.086914,974.781799,11.082869,
incompressible,incompressible,-809.570984,-1903.042969,11.059124,
nonexpansive,nonexpansive,-2339.749023,139.145554,11.053608,
Strong_convergence,Strong_convergence,-2388.848389,160.375214,11.053608,
ligands,ligands,2745.611084,-1556.215332,11.053608,
ResNet,ResNet,991.305542,3403.827881,11.053608,
kinase,kinase,2909.675537,-1498.876099,11.053608,
Hydrophobic,Hydrophobic,2723.827148,-1625.812988,11.053608,
Corpus,Corpus,-991.868042,2905.665527,11.047789,
Histologic,Histologic,3704.718506,-137.777313,11.046586,
Positioning,Positioning,-3270.664307,-91.878647,11.01899,
Navigation,Navigation,-938.518738,-225.747787,11.01899,
adenocarcinomas,adenocarcinomas,3812.813477,-233.725021,11.002609,
encrypts,encrypts,-3471.81543,1259.990723,10.990017,
MOEA/D,MOEA/D,-1025.566162,1205.516357,10.970759,
Vertex,Vertex,-2532.491943,2712.205566,10.940445,
Lithology,Lithology,462.726471,-2598.672363,10.919055,
inhibitors,inhibitors,2827.202393,-1568.812256,10.911283,
retailers,retailers,-1900.760376,1829.332397,10.911283,
Aqueous,Aqueous,926.057434,-2118.453369,10.911283,
Macular,Macular,2621.662109,978.799744,10.898949,
Full-Duplex,Full-Duplex,-4301.263672,-143.199341,10.889597,
subcarrier,subcarrier,-4141.241699,-193.914932,10.889597,
TCGA,TCGA,3864.202393,-457.726379,10.869854,
resections,resections,3668.28125,-15.895493,10.869854,
Unsteady,Unsteady,-729.973694,-1920.845337,10.850794,
Observer-based,Observer-based,-2259.905273,-725.28656,10.848051,
Inexact,Inexact,-2256.83252,79.975067,10.839601,
Softmax,Softmax,956.434387,3396.220459,10.839601,
Censoring,Censoring,254.54274,1005.143127,10.833774,
depots,depots,-1921.572144,1106.707275,10.830799,
MOEA,MOEA,-1060.114746,1190.515747,10.821628,
MOP,MOP,-1002.483154,1194.86499,10.821628,
buyers,buyers,-1888.518921,1806.345703,10.821628,
galaxies,galaxies,131.38765,-814.709167,10.806118,
Stellar,Stellar,75.912964,-758.56897,10.806118,
dose,dose,2293.19043,456.759796,10.80207,
Geological,Geological,465.855713,-2644.255127,10.80207,
inverter,inverter,-2256.681641,-1384.891602,10.796907,
Immunohistochemistry,Immunohistochemistry,3869.807617,-236.158661,10.780708,
receptors,receptors,2927.749512,-1469.796265,10.767591,
Corpora,Corpora,-966.216431,2944.092529,10.753744,
Lexical,Lexical,-933.018494,2958.627441,10.753744,
phantoms,phantoms,2409.630127,591.714355,10.743254,
microenvironments,microenvironments,3844.638672,-405.273102,10.735949,
LBP,LBP,273.353729,1944.841187,10.731464,
firms,firms,-1839.187622,1891.018433,10.731464,
Docking,Docking,2831.046387,-1595.933716,10.695263,
Molecular_docking,Molecular_docking,2783.369873,-1551.946533,10.695263,
Economic_Geology,Economic_Geology,556.073364,-2608.924805,10.684229,
Grid-Connected,Grid-Connected,-2204.314941,-1299.406616,10.677731,
Pareto,Pareto,-1059.819824,1238.866333,10.671082,
Cortex,Cortex,1911.814819,1915.030029,10.65733,
T1-weighted,T1-weighted,2162.855469,1570.193481,10.65733,
EKF,EKF,-1061.181519,-271.841064,10.642925,
sell,sell,-1866.722656,1762.801025,10.640812,
profits,profits,-1906.666016,1763.734863,10.640812,
Orthopedics_and_Sports_Medicine,Orthopedics_and_Sports_Medicine,2024.1427,1055.434814,10.627821,
contrast-to-noise,contrast-to-noise,2604.036133,758.437805,10.624995,
Pre-trained,Pre-trained,976.059448,3454.752441,10.622622,
_Statistical,_Statistical,166.064713,-711.988586,10.618857,
Retinal,Retinal,2618.395752,1020.405334,10.618857,
voltage,voltage,-2287.731934,-1329.970337,10.617822,
Encrypted,Encrypted,-3464.734131,1222.917236,10.568651,
Cryptographic,Cryptographic,-3431.599121,1339.289673,10.568651,
IMRT,IMRT,2265.442383,377.204498,10.565558,
SBRT,SBRT,2308.949219,431.562073,10.565558,
CSI,CSI,-4229.637695,-236.665619,10.560747,
SINR,SINR,-4171.803711,-148.410202,10.560747,
Structure-Activity,Structure-Activity,2756.23999,-1620.121704,10.549674,
protease,protease,2933.040283,-1527.091431,10.549674,
MedicinePurpose,MedicinePurpose,2193.239746,1326.562988,10.533052,
finite-time,finite-time,-2252.279785,-700.034912,10.528162,
_General,_General,165.048706,-790.424805,10.524449,
gyroscope,gyroscope,-874.270081,-150.362686,10.515642,
Fixed_point,Fixed_point,-2359.564453,184.965912,10.513086,
Metastasis,Metastasis,3784.822266,-242.583878,10.510361,
OARs,OARs,2281.263916,431.226624,10.505919,
VRP,VRP,-1863.787354,1078.227417,10.497381,
ankle,ankle,1808.651855,1083.811279,10.497381,
Extremity,Extremity,1939.862793,1113.476318,10.497381,
Anterior,Anterior,2089.010742,1173.408325,10.497381,
pharmacophore,pharmacophore,2766.302979,-1591.81189,10.476421,
Inhibitory,Inhibitory,2793.005127,-1525.952881,10.476421,
Neuroimaging,Neuroimaging,2031.409424,1896.804077,10.470582,
discounts,discounts,-1914.835571,1806.518677,10.458059,
Gabor,Gabor,235.836807,1926.428589,10.458059,
Texture_analysis,Texture_analysis,719.761108,1760.594238,10.458059,
multiuser,multiuser,-4169.835449,-207.381424,10.449709,
Power_allocation,Power_allocation,-4210.902832,-130.953186,10.449709,
Geologic,Geologic,491.019531,-2641.669922,10.446075,
three-phase,three-phase,-2326.803955,-1410.406982,10.436852,
THD,THD,-2312.931885,-1358.033203,10.436852,
VSI,VSI,-2358.650391,-1387.812988,10.436852,
Springer_Nature.The,Springer_Nature.The,-1826.569824,2708.496582,10.436852,
Springer_Nature.In,Springer_Nature.In,-1851.769531,2727.416748,10.436852,
Astronomy_and_Astrophysics,Astronomy_and_Astrophysics,162.902298,-833.890503,10.429533,
Retina,Retina,2611.772217,1045.110229,10.429533,
redshifts,redshifts,135.413849,-764.229492,10.429533,
catalogue,catalogue,199.474167,-730.653015,10.429533,
telescope,telescope,213.583038,-793.254578,10.429533,
Biopsy,Biopsy,3743.898193,-55.049778,10.419304,
Hippocampus,Hippocampus,1982.709351,1878.565308,10.407888,
Gyrus,Gyrus,1981.150391,1907.420898,10.407888,
Convolutional,Convolutional,1022.298279,3416.404785,10.402864,
iterates,iterates,-2314.571289,110.230637,10.402864,
NOMA,NOMA,-4276.28418,-169.823181,10.393929,
multi-user,multi-user,-4169.053223,-234.805435,10.393929,
subchannels,subchannels,-4168.337891,-115.504021,10.393929,
Satellite-based,Satellite-based,938.503296,-3870.618164,10.391962,
headings,headings,-1028.750488,-219.572388,10.38743,
VMAT,VMAT,2245.983887,399.120178,10.386032,
kVp,kVp,2538.142822,706.219116,10.386032,
Graph_algorithms,Graph_algorithms,-2559.5979,2674.749268,10.384804,
polynomial-time,polynomial-time,-2578.902832,2659.290771,10.384804,
NP-complete,NP-complete,-2590.039307,2699.798584,10.384804,
Capacitated,Capacitated,-1948.651367,1099.707642,10.384804,
discourse,discourse,-1016.551147,2803.577148,10.378614,
many-objective,many-objective,-1071.945435,1270.047119,10.365973,
Purchasing,Purchasing,-1908.770508,1853.485474,10.365973,
Cryptography,Cryptography,-3496.224365,1300.590576,10.353977,
convective,convective,-458.94928,-2292.579102,10.353977,
3T,3T,2201.627197,1427.370117,10.344975,
Cortical,Cortical,1885.932129,1894.317749,10.344975,
_Data_analysis,_Data_analysis,159.74498,-766.39563,10.334106,
Sky,Sky,155.551819,-857.751953,10.334106,
inhibits,inhibits,2994.812988,-1443.176147,10.329003,
peptides,peptides,2979.977783,-1472.193848,10.329003,
Prognosis,Prognosis,3839.053223,-339.657806,10.327781,
Lymph,Lymph,3762.273926,-148.357132,10.327781,
CNR,CNR,2586.349609,713.369995,10.325786,
Stereotactic,Stereotactic,2299.612305,354.218964,10.325786,
PTV,PTV,2300.852539,380.805817,10.325786,
Proportional-Integral,Proportional-Integral,-2261.626465,-1279.762207,10.31517,
lexicons,lexicons,-982.879578,2878.821289,10.302623,
Pelvis,Pelvis,2195.464355,883.025696,10.299904,
Hesitant,Hesitant,-983.036987,2349.169189,10.294811,
Variational_inequality,Variational_inequality,-2373.721191,139.256165,10.291958,
Prognostic,Prognostic,3812.821045,-326.391846,10.281842,
Encryption,Encryption,-3447.365967,1266.935547,10.281842,
macrophages,macrophages,3819.202881,-496.780853,10.281842,
Uniaxial,Uniaxial,204.106735,-1431.42395,10.273408,
corporate,corporate,-1765.341064,1928.973389,10.273408,
FBP,FBP,2559.942627,742.493347,10.265337,
collimators,collimators,2185.477051,424.19162,10.265337,
QSAR,QSAR,2778.653809,-1636.882568,10.254838,
Potent,Potent,2811.343262,-1547.461426,10.254838,
conformations,conformations,2715.206299,-1565.82605,10.254838,
OCT,OCT,2622.099609,952.208496,10.238173,
tumors,tumors,3796.03833,-187.643082,10.235786,
Multiple-Output,Multiple-Output,-4198.020508,-282.69696,10.225536,
Non-orthogonal,Non-orthogonal,-4232.726074,-145.012421,10.225536,
BS,BS,-4255.738281,-154.618973,10.225536,
Pareto-optimal,Pareto-optimal,-1040.894897,1281.691284,10.211432,
offsprings,offsprings,1215.96936,144.952255,10.211432,
Security,Security,-3421.609863,1271.028931,10.209417,
Confidentiality,Confidentiality,-3439.638916,1225.135376,10.209417,
American_Association_of_Physicists,American_Association_of_Physicists,2254.192383,472.867462,10.204683,
discrete-time,discrete-time,-2343.000977,-709.172302,10.202301,
Robust_control,Robust_control,-2258.841797,-767.582825,10.202301,
OLI,OLI,1102.336792,-3772.482666,10.196123,
Seasonal,Seasonal,1011.349426,-3865.272461,10.196123,
mRNA,mRNA,3851.179932,-831.968201,10.189613,
mRNAs,mRNAs,3883.904053,-799.495483,10.189613,
CNN,CNN,1021.495789,3475.936279,10.180365,
Adsorption,Adsorption,827.359619,-2139.341797,10.180365,
Convolution,Convolution,1002.895142,3380.549072,10.180365,
purchase,purchase,-1875.353149,1831.807495,10.180365,
molecules,molecules,2652.63208,-1627.235107,10.180365,
enzyme,enzyme,2900.937256,-1529.595703,10.180365,
payments,payments,-1860.313477,1851.021851,10.180365,
Bregman,Bregman,-2271.780273,198.337006,10.180365,
Multiple-input,Multiple-input,-4209.805176,-259.917084,10.169054,
transmitter,transmitter,-4194.390137,-198.567947,10.169054,
words,words,-1000.947876,2978.731201,10.149671,
phrases,phrases,-987.714783,2957.807861,10.149671,
Gy,Gy,2302.030762,406.428131,10.143826,
CBCT,CBCT,2311.242188,587.343201,10.143826,
Differentially,Differentially,3875.93457,-739.018066,10.143323,
Optical_coherence_tomography,Optical_coherence_tomography,2645.063232,961.758484,10.141724,
Ocular,Ocular,2545.788818,1000.899536,10.141724,
Watermarking,Watermarking,-3316.449463,1166.002197,10.1367,
Unauthorized,Unauthorized,-3460.244873,1313.05249,10.1367,
Unscented,Unscented,-1104.807617,-265.626404,10.128225,
WLAN,WLAN,-3694.403809,6.366366,10.128225,
TOA,TOA,-3191.186279,-240.300232,10.128225,
Radiographic,Radiographic,2144.87793,993.071289,10.10023,
Sagittal,Sagittal,1950.997559,1064.083374,10.10023,
Pelvic,Pelvic,3239.677734,393.673462,10.10023,
biopsies,biopsies,3752.494385,-85.871979,10.096912,
metastases,metastases,3721.940674,-114.085129,10.096912,
Squamous,Squamous,3841.690186,-230.426849,10.096912,
Pathologic,Pathologic,3723.841064,-83.719673,10.096912,
resting-state,resting-state,1989.536865,1935.941772,10.091103,
adolescents,adolescents,2314.807373,1816.299683,10.091103,
genome,genome,3689.908447,-1305.33728,10.090591,
EM_algorithm,EM_algorithm,210.117889,1028.039307,10.089375,
Anthropomorphic,Anthropomorphic,2388.819092,556.692993,10.082762,
sandstone,sandstone,494.109741,-2578.3396,10.082762,
Resistivity,Resistivity,439.898804,-2610.888184,10.082762,
chlorophyll,chlorophyll,1094.3927,-3733.453369,10.077594,
multicore,multicore,-3782.970947,1908.994385,10.075116,
MATLAB/Simulink,MATLAB/Simulink,-2250.650391,-1348.390991,10.069315,
Nonsmooth,Nonsmooth,-2247.894775,126.178413,10.068075,
Imperceptibility,Imperceptibility,-3335.919678,1136.635376,10.063687,
secure,secure,-3506.194336,1230.686035,10.063687,
Nusselt,Nusselt,-687.883057,-1994.408813,10.063687,
eavesdropper,eavesdropper,-4326.649414,-178.722595,10.055558,
Non-dominated,Non-dominated,-1020.476562,1229.168579,10.055558,
Precoding,Precoding,-4252.615723,-226.887665,10.055558,
precoder,precoder,-4268.901855,-245.485825,10.055558,
MOPSO,MOPSO,-1082.465942,1226.140869,10.055558,
Nondominated,Nondominated,-998.041382,1234.379517,10.055558,
_Numerical,_Numerical,88.940063,-813.499756,10.044758,
admits,admits,-2565.54126,2698.17749,10.042774,
Knee,Knee,1920.601562,1081.150879,10.033178,
Hip,Hip,2010.837524,1024.904175,10.033178,
Virtual_screening,Virtual_screening,2800.500488,-1570.329346,10.030493,
isotherms,isotherms,684.109253,-2109.602051,10.030493,
solvents,solvents,1442.136475,-1889.522461,10.030493,
licence,licence,-1818.287231,2746.9646,10.007323,
Springer-Verlag_London_Ltd.,Springer-Verlag_London_Ltd.,-1803.106812,2703.646973,10.007323,
IHC,IHC,3860.976562,-206.498749,10.00373,
Histopathological,Histopathological,3774.471436,-68.44545,10.00373,
EE,EE,-4262.730957,-96.903877,9.998541,
Indoor_localization,Indoor_localization,-3299.003906,-87.383492,9.997211,
Syntactic,Syntactic,-986.677917,2999.37793,9.995411,
Arabic,Arabic,-920.364563,2913.812012,9.995411,
attacks,attacks,-3378.335449,1321.125366,9.990379,
all-cause,all-cause,3353.051025,962.673157,9.990379,
many-core,many-core,-3810.526123,1916.857056,9.986937,
Chattering,Chattering,-2242.785889,-797.753601,9.981735,
event-triggered,event-triggered,-2307.46875,-649.97522,9.981735,
Atrophy,Atrophy,2007.729126,1811.688721,9.962811,
Geology,Geology,525.919312,-2666.481689,9.960012,
facies,facies,502.709625,-2600.817627,9.960012,
high-grade,high-grade,3783.440186,-125.76738,9.956959,
residues,residues,2909.365967,-1558.156372,9.955086,
Cosmological,Cosmological,149.645981,-745.049927,9.947267,
Cosmology,Cosmology,85.98938,-734.454041,9.947267,
stars,stars,118.024193,-836.371643,9.947267,
catalogs,catalogs,189.068451,-794.789673,9.947267,
universe,universe,124.025375,-696.634155,9.947267,
SWIPT,SWIPT,-4313.508789,-239.381729,9.941341,
Beamforming,Beamforming,-4280.39502,-267.657867,9.941341,
Semiparametric,Semiparametric,225.773758,985.6474,9.936695,
solvable,solvable,-2571.62207,2635.51001,9.927305,
pickups,pickups,-1904.475342,1067.809937,9.927305,
Nature-inspired,Nature-inspired,-1485.994141,910.4505,9.927305,
Chlorophyll-a,Chlorophyll-a,1036.376953,-3733.806641,9.918329,
Watermarked,Watermarked,-3301.737061,1144.296753,9.916771,
cipher,cipher,-3456.894531,1288.973633,9.916771,
cryptosystems,cryptosystems,-3517.740479,1288.931885,9.916771,
Hiding,Hiding,-3392.671631,1174.257812,9.916771,
Convection,Convection,-664.802246,-1986.228271,9.916771,
Turbulent,Turbulent,-691.66571,-1911.894165,9.916771,
lncRNAs,lncRNAs,3904.569824,-749.301453,9.910066,
Immunotherapy,Immunotherapy,3793.743408,-381.353302,9.910066,
immune,immune,3817.717529,-461.536804,9.910066,
OS,OS,3853.740234,-285.750641,9.910066,
malignancies,malignancies,3772.681641,-174.215469,9.910066,
single-objective,single-objective,-1062.677856,1214.459717,9.898321,
Replenishment,Replenishment,-1929.230835,1866.83606,9.898321,
Biomechanical,Biomechanical,1874.276367,1077.756348,9.898321,
Finance,Finance,-1790.78064,1850.409058,9.898321,
/SUP,/SUP,4929.710938,399.149078,9.898321,
super,super,4918.091309,380.541748,9.898321,
laminates,laminates,119.736374,-1479.461304,9.898321,
MIMO,MIMO,-4213.84375,-303.266083,9.883959,
Secrecy,Secrecy,-4292.151367,-210.665253,9.883959,
compounds,compounds,2801.046387,-1621.93396,9.87936,
bonds,bonds,1785.130859,-1774.727783,9.87936,
methylene,methylene,880.039978,-2150.249512,9.87936,
aromatics,aromatics,2618.08252,-1668.487549,9.87936,
Sliding_mode_control,Sliding_mode_control,-2195.82373,-777.165466,9.87043,
UKF,UKF,-1081.932983,-257.350616,9.865236,
Kalman,Kalman,-1070.675415,-236.620621,9.865236,
RSSI,RSSI,-3346.450439,-41.246021,9.865236,
whole-genome,whole-genome,3701.905762,-1374.301025,9.864176,
lncRNA,lncRNA,3904.709229,-718.438354,9.863047,
Space_and_Planetary_Science,Space_and_Planetary_Science,174.56134,-812.976868,9.849242,
Sensory_Systems,Sensory_Systems,2567.108398,1013.417847,9.849242,
watermarks,watermarks,-3312.582031,1119.299805,9.842859,
Decryption,Decryption,-3495.316895,1252.323364,9.842859,
Securing,Securing,-3380.656494,1293.320923,9.842859,
monotone,monotone,-2312.114746,165.924622,9.841376,
Primal-dual,Primal-dual,-2274.104004,117.773788,9.841376,
Sentiment,Sentiment,-1008.403381,2878.932129,9.839814,
n-grams,n-grams,-989.172607,2932.212646,9.839814,
Monsoon,Monsoon,976.628418,-3939.224609,9.838163,
carbonate,carbonate,517.556091,-2581.466797,9.836416,
T2-weighted,T2-weighted,2344.718506,1295.005981,9.833597,
UEs,UEs,-4246.751465,-72.364037,9.82639,
PWM,PWM,-2287.086426,-1426.485352,9.820054,
nucleotide,nucleotide,3678.380127,-1363.057007,9.818547,
Survival,Survival,3830.446533,-303.741333,9.815905,
Cox,Cox,3855.452148,-314.972229,9.815905,
Vehicle_routing,Vehicle_routing,-1930.14917,1072.936768,9.811088,
Makespan,Makespan,-2210.990479,1288.265503,9.811088,
tardiness,tardiness,-2171.680664,1287.0354,9.811088,
Variable_neighborhood_search,Variable_neighborhood_search,-1925.862793,1132.965088,9.811088,
subgraphs,subgraphs,-2509.004395,2704.101562,9.811088,
travelers,travelers,-1901.89856,622.882202,9.811088,
digraphs,digraphs,-2549.731445,2626.509033,9.811088,
OpenCL,OpenCL,-3747.400391,1936.907471,9.809265,
Conformational,Conformational,2705.205566,-1590.502686,9.803312,
Structure-based,Structure-based,2850.045898,-1555.292725,9.803312,
binder,binder,2965.49292,-1506.476929,9.803312,
price,price,-1849.654175,1782.359863,9.803312,
Vegetation,Vegetation,1149.871216,-3826.572021,9.797944,
ASIR,ASIR,2576.432861,763.544495,9.774294,
Keys,Keys,-3494.971191,1276.288208,9.768636,
depressive,depressive,2158.830078,1905.69812,9.768636,
Psychiatry_and_Mental_Health,Psychiatry_and_Mental_Health,2132.057861,1923.652832,9.768636,
Malignancy,Malignancy,3757.213135,0.680403,9.768636,
Co-expression,Co-expression,3927.942627,-768.480164,9.768636,
Psychiatric,Psychiatric,2182.323975,1892.23877,9.768636,
compressible,compressible,-809.981812,-1848.438721,9.768636,
WM,WM,1982.191162,1794.325073,9.768636,
Contrast-enhanced,Contrast-enhanced,3084.121338,478.109253,9.768636,
Musculoskeletal,Musculoskeletal,1881.64856,1108.693481,9.762437,
Distal,Distal,2250.352539,1042.829468,9.762437,
texts,texts,-969.615417,2919.216797,9.761501,
Lyapunov,Lyapunov,-2288.126953,-740.045288,9.758425,
Quadrotor,Quadrotor,-1304.913696,-1091.986938,9.758425,
Underactuated,Underactuated,-1974.840576,-676.353821,9.758425,
Chl-a,Chl-a,1053.375732,-3754.58667,9.757633,
seasons,seasons,1082.709839,-3855.255859,9.757633,
haloes,haloes,88.575035,-779.742004,9.750673,
vasculature,vasculature,2733.988525,1021.642395,9.750673,
Multiobjective_optimization,Multiobjective_optimization,-1014.549988,1251.329956,9.739687,
multiobjective,multiobjective,-980.058533,1248.573364,9.739687,
NSGA-II,NSGA-II,-1036.87439,1244.533081,9.739687,
Decomposition-based,Decomposition-based,-1003.893311,1170.790649,9.739687,
Elitist,Elitist,-1014.702087,1275.480225,9.739687,
Extended_Kalman_filter,Extended_Kalman_filter,-1036.281616,-268.438171,9.732275,
proteins,proteins,2997.503662,-1501.065918,9.726936,
Subgradient,Subgradient,-2290.924316,152.861282,9.726936,
hydrocarbons,hydrocarbons,634.994751,-2463.767334,9.726936,
Nonconvex,Nonconvex,-2245.074463,191.543777,9.726936,
Handcrafted,Handcrafted,1016.448608,3439.174805,9.726936,
Metastatic,Metastatic,3754.780029,-195.767731,9.721241,
CPUs,CPUs,-3727.260498,1968.327148,9.719757,
FPGAs,FPGAs,-3660.690674,1811.711792,9.719757,
Km2,Km2,1183.710571,-3878.786377,9.717229,
preference,preference,-1056.499146,2359.46167,9.715157,
Iterative_reconstruction,Iterative_reconstruction,2532.432373,742.913269,9.711952,
TPS,TPS,2218.219971,353.430939,9.711952,
